source;relationship;target
'Metropolitan Museum of Art';has_possession_of;'Warrior Figure'
'The Mol Collection';'donates_to';'Metropolitan Museum of Art'
'G. R. Schmidt';'has_possession_of';'Warrior Figure'
'The Brummer Gallery';'has_possession_of';'Warrior Figure'
'Face Mask';'comes_from';"Yup'ik"
'Face Mask';'has_possession_of';'Metropolitan Museum of Art'
'Ralph T. Coe';'donates_to';'Metropolitan Museum of Art'
'Bishop Farhov';'obtains_from';"Yup'ik"
'Bishop Farhov';'obtains_from';"Yup'ik Face Mask"
'Metropolitan Museum of Art';'has_possession_of';"Yup'ik Face Mask"
'Bannerstone';'comes_from';'Kankakee County, Illinois'
'Metropolitan Museum of Art';'has_possession_of';'Bannerstone'
'John J. Klejman';'has_possession_of';'Marble statuette of young Dionysos'
'Edward Klagsbrun and Joan Saslow';'donates_to';'Metropolitan Museum of Art'
'Marble statuette of young Dionysos';'comes_from';'Roman'
'Williams College Museum of Art';'has_possession_of';'Self Portrait of Keshav Das'
"Sotheby's auction";'sells';'Self Portrait of Keshav Das'
"Sotheby's auction";'makes_sale_to';'Doris Wiener'
'Self Portrait of Keshav Das';'comes_from';'Mughal court at Delhi'
'Metropolitan Museum of Art';'purchases';'Child Saint Sambandar'
'Child Saint Sambandar';'comes_from';'India, Tamil Nadu'
'Dr. J. R. Belmont';'has_possession_of';'Child Saint Sambandar'
'Doris Wiener';'has_possession_of';'Child Saint Sambandar'
'J.J. Klejman';'has_possession_of';'Standing figure'
'J.J. Klejman';'sells';'Standing figure'
'Faith-Dorian and Martin Wright family';'donates_to';'Metropolitan Museum of Art'
'Standing figure';'comes_from';'Middle Bronze Age'
'Doris Wiener';'donates_to';'Metropolitan Museum of Art'
'Head of Buddha';'comes_from';'Southern Cambodia'
'Doris Wiener';'has_possession_of';'Head of Buddha'
'Metropolitan Museum of Art';'purchases';'Pair of Manuscript Covers with Goddesses Set in a Shrine'
'Doris Wiener';'has_possession_of';'Pair of Manuscript Covers with Goddesses Set in a Shrine'
'Pair of Manuscript Covers with Goddesses Set in a Shrine';'comes_from';'Nepal (Kathmandu Valley)'
'Harry G. Sperling Fund';'purchases';'Interior of Saint Severin Church in Erfurt'
'Carl Heumann';'has_possession_of';'Interior of Saint Severin Church in Erfurt'
"Carl Heumann's heirs";'has_possession_of';'Interior of Saint Severin Church in Erfurt'
'Carl Georg Anton Graeb';'has_role';'Artist'
'Interior of Saint Severin Church in Erfurt';'comes_from';'Carl Heumann'
'Interior of Saint Severin Church in Erfurt';'comes_from';"Carl Heumann's heirs"
'Nancy Wiener Hamill';'donates_to';'Metropolitan Museum of Art'
'Doris Wiener';'has_possession_of';'Pair of Book Covers with Scenes from the Devimahatmya'
'Pair of Book Covers with Scenes from the Devimahatmya';'comes_from';'Nepal (Kathmandu Valley)'
'Doris Wiener';'has_immediate_family_member';'Nancy Wiener Hamill'
'Doris Wiener';'has_possession_of';'Manuscript Cover with Four Vidyadevis Accompanied by Attendants'
'Nancy Wiener Hamill';'donates_to';'Metropolitan Museum of Art'
'Manuscript Cover with Four Vidyadevis Accompanied by Attendants';'comes_from';'Nepal (Kathmandu Valley)'
'Metropolitan Museum of Art';'has_possession_of';'The Prodigal Son Squanders his Fortune with Prostitutes'
'The Prodigal Son Squanders his Fortune with Prostitutes';'comes_from';'Augustin Braun'
'Metropolitan Museum of Art';'purchases';'The Prodigal Son Squanders his Fortune with Prostitutes'
'Metropolitan Museum of Art';'buys_from';'Katrin Bellinger Kunsthandel, Munich'
'Metropolitan Museum of Art';'has_possession_of';'On the Beach, Dieppe'
'James McCormick';'has_possession_of';'On the Beach, Dieppe'
'James McCormick';'legal_status_change';'until d. 1903'
'Eugène Boudin';'has_role';'Artist'
'The Walter H. and Leonore Annenberg Collection';'has_possession_of';'On the Beach, Dieppe'
'Standing Female Deity';'comes_from';'Cambodia'
'Metropolitan Museum of Art';'has_possession_of';'Standing Female Deity'
'Douglas A. J. Latchford';'has_possession_of';'Standing Eight-Armed Avalokiteshvara, the Bodhisattva of Infinite Compassion'
'Douglas A. J. Latchford';'sells';'Standing Eight-Armed Avalokiteshvara, the Bodhisattva of Infinite Compassion'
'Jeffrey B. Soref';'purchases';'Standing Eight-Armed Avalokiteshvara, the Bodhisattva of Infinite Compassion'
'Jeffrey B. Soref';'donates_to';'Metropolitan Museum of Art'
'Standing Eight-Armed Avalokiteshvara, the Bodhisattva of Infinite Compassion';'comes_from';'Cambodia or Thailand'
'Metropolitan Museum of Art';'has_possession_of';'Halibut Hook'
'Harry G. Beasley';'obtains_from';'Sitka, AK'
'Halibut Hook';'comes_from';'Tlingit'
'J. Leroy Davidson';'sells';'A Female Musician Charms an Antelope'
'Friends of Asian Art';'purchases';'A Female Musician Charms an Antelope'
'Friends of Asian Art';'donates_to';'Metropolitan Museum of Art'
'A Female Musician Charms an Antelope';'comes_from';'Western India, Rajasthan, Kota'
'Khambhavati Ragini: Folio from a ragamala series';'comes_from';'Maharaja of Bikaner, Rajasthan, India'
'Metropolitan Museum of Art';'has_possession_of';'Khambhavati Ragini: Folio from a ragamala series'
'Douglas A. J. Latchford';'sells';'Four-Armed Avalokiteshvara (Bodhisattva of Infinite Compassion)'
'Metropolitan Museum of Art';'purchases';'Four-Armed Avalokiteshvara (Bodhisattva of Infinite Compassion)'
'Four-Armed Avalokiteshvara (Bodhisattva of Infinite Compassion)';'comes_from';'Thailand or Cambodia'
