Christie's New York;has_possession_of;Alabaster Duck Vessel
Christie's New York;works_with;Metropolitan Museum of Art
Metropolitan Museum of Art;works_for;Egyptian Supreme Council of Antiquities
Christie's New York;obtains_from;Israeli Private Collection
US Customs and Immigration;has_possession_of;Alabaster Duck Vessel
US Customs and Immigration;donates_to;Egyptian Supreme Council of Antiquities
Rupert Wace;has_possession_of;Alabaster Duck Vessel
Rupert Wace;donates_to;PIASA
PIASA;donates_to;Egyptian Supreme Council of Antiquities
Alabaster Duck Vessel;comes_from;Burial Chamber in the Pyramid Complex of Amenemhat III at Dashur
Fremont Culture Figurine;has_possession_of;Utah Museum
Clarence Pilling;has_role;Rancher
Art Pilling;has_role;Rancher
Woodrow Pilling;has_role;Rancher
Dusty Pruitt;has_role;Ranch Hand
Tony Finn;has_role;Ranch Hand
Clarence Pilling;works_with;Geneve Oliver
Geneve Oliver;works_with;Neil Judd
Neil Judd;works_with;Noel Morss
Pilling Family;is_the_owner_of;Pilling Figurines
Federal Government;is_the_owner_of;Pilling Figurines
Federal Government;has_possession_of;College of Eastern Utah Prehistoric Museum
College of Eastern Utah Prehistoric Museum;has_possession_of;Pilling Figurines
Noel Morss;works_for;Peabody Museum
Pilling Figurines;comes_from;Pilling Site
Pilling Figurines;has_possession_of;Zions First National Bank
Pilling Figurines;has_possession_of;College of Eastern Utah Prehistoric Museum
Pilling Figurine No. 2;legal_status_change;Missing
Ernil Bernal;works_with;Samuel Bernal
Ernil Bernal;has_possession_of;goldsilver and other Moche antiquities
Bernal family;has_possession_of;gold and silver artefacts
police;works_with;Walter Alva
police;legal_status_change;looters
Sotheby;has_possession_of;Sipán Jewellery
Sotheby;legal_status_change;Sipán Jewellery
Bourne Collection;has_possession_of;Sipán material
Swetnam / Drew / Kelly smuggling ring;works_with;looters
Viking-age silver;comes_from;site in northern Estonia
German auction house;has_possession_of;Viking-age silver
University of Tallinn archaeologists;works_with;Estonian National Heritage Board
Estonian National Heritage Board;works_with;University of Tallinn archaeologists
National Heritage Board;works_with;University of Tallinn
University of Tallinn;works_with;National Heritage Board
Estonian Defence League;works_with;archaeologists
archaeologists;works_with;Estonian Defence League
German police;works_with;Estonian police
Estonian police;works_with;German police
Walter Augsburger;works_with;Maido Kättmann
Maido Kättmann;works_with;Walter Augsburger
Walter Augsburger;sells;108 coins
Maido Kättmann;obtains_from;Ubina site
Maido Kättmann;legal_status_change;Estonian Circuit Court
Maido Kättmann;legal_status_change;Estonian Supreme Court
Institute of History in Tallinn;has_possession_of;coins jewellery fragmentsand other artefacts
Boston Museum of Fine Arts;has_possession_of;Vibia Sabina Statue
Boston Museum of Fine Arts;purchases;Vibia Sabina Statue
Robert Hecht;sells;Vibia Sabina Statue
Robert Hecht;makes_sale_to;Boston Museum of Fine Arts
Fritz Bürki;works_for;Robert Hecht
Giacomo Medici;works_with;Nikolas Koutoulakis
Giacomo Medici;works_with;Fritz Bürki
Giacomo Medici;legal_status_change;Swiss and Italian authorities
Boston Museum of Fine Arts;donates_to;Italian Ministry of Culture
Vibia Sabina Statue;comes_from;Hadrian villa at Tivoli
Giacomo Medici;has_role;Italian antiquities dealer
Giacomo Medici;has_role;convicted criminal
Niels Heidenreich;legal_status_change;Niels Heidenreich
Niels Heidenreich;has_possession_of;Golden Horns of Gallehus
Niels Heidenreich;sells;clasps Indian coins and other fakes manufactured from the gold of the melted down horn
Adam Gottlob Oehlenschläger;has_role;Poet of a poem mythologising the loss of the Golden Horns
National Museum of Denmark;has_possession_of;golden earrings believed to have been made by Heidenreich from the prehistoric gold of the horns
National Museum of Denmark;has_possession_of;replica Golden Horns
Museum at Ringe;has_possession_of;another set of earrings made from the original horns
Royal Jelling Museum;has_possession_of;1970s replicas of the Golden Horns
Thieves;has_possession_of;1970s replicas of the Golden Horns
Thieves;has_possession_of;large gold neck ring
National Museum of Denmark;has_role;Creator of a downloadable game based on the original theft
Classic Maya vase;comes_from;Tomb 12 at Río Azul
Classic Maya vase;comes_from;Río Azul
Detroit Institute of Arts;has_possession_of;Classic Maya vase
Andre Emmerich Gallery;sells;Classic Maya vase
Peter G. Wray;has_possession_of;Classic Maya vase
Detroit Institute of Arts;purchases;Classic Maya vase
Detroit Institute of Arts;buys_from;Andre Emmerich Gallery
Detroit Institute of Arts;buys_from;Peter G. Wray
Sam Sachs;has_role;Director of the Detroit Institute of Arts
Michael Kan;has_role;Curator of AfricanOceanic and New World Art
Nazca and Paracas cemeteries;has_possession_of;sellable ancient textiles
owners of the Hacienda Ocucaje;has_role;collectors of pre-Conquest cultural material
owners of the Hacienda Ocucaje;has_role;participants in the looting of nearby sites
Max Uhle;works_with;Dr. Ernesto Mazzei
Max Uhle;purchases;Nazca cultural material
Max Uhle;buys_from;local dealer
Pablo Soldi;has_role;Ica-based dealer in antiquities
Pablo Soldi;has_role;commercial looter of archaeological sites
Pablo Soldi;sells;mummy masks from Ocucaje
Pablo Soldi;makes_sale_to;Paul Truel
Paul Truel;is_the_owner_of;Hacienda Ocucaje
Pablo Soldi;makes_sale_to;American Museum of Natural History
American Museum of Natural History;purchases;over 100 objects from Soldi
American Museum of Natural History;has_possession_of;objects from Ocucaje sites
Zero Mostel;has_possession_of;textiles from Cerro Max Uhle
Javier Cabrera Darquea;purchases;341 Ica stones
Javier Cabrera Darquea;buys_from;Pablo Soldi and Carlos Darquea
Javier Cabrera Darquea;has_possession_of;around 11,000 Ica stones
Basilio Uschuya;has_role;forger of Ica stones
Irma Gutiérrez de Aparcana;has_role;forger of Ica stones
Basilio Uschuya;legal_status_change;arrested for selling archaeological material
Basilio Uschuya;legal_status_change;signed a legal confession
French naval forces;has_possession_of;Uigwe
Bibliothèque nationale de France;has_possession_of;Uigwe
Park Byeong-sen;works_for;Bibliothèque nationale de France
French President François Mitterrand;donates_to;South Korea
Cultural Action;works_with;Paris administrative court
French president Nicholas Sarkozy;works_with;South Korean president Lee Myung-bak
France;has_possession_of;Uigwe
Governor-General of Colonial Japanese Korea Hirobumi;has_possession_of;Uigwe
Imperial Household Agency in Tokyo;has_possession_of;Uigwe
Japanese Prime Minister Kan Naoto;donates_to;South Korea
Prime Minister Noda Yoshihiko;donates_to;South Korea
South Korean Cultural Heritage Administration;has_possession_of;Uigwe
Sweden's National Museum;has_possession_of;Classic Maya stela
Sweden's National Museum;donates_to;Guatemala
Ledyard Smith;works_with;Edwin M. Shook
Ledyard Smith;works_for;Carnegie Institution
Edwin M. Shook;works_for;Carnegie Institution
Everett Rassiga;has_possession_of;lower portion of Stela 1
Everett Rassiga;works_with;Placeres Temple Facade
Everett Rassiga;works_with;Las Bocas-style figurines
Ernest Ericson;purchases;lower portion of Stela 1
Ernest Ericson;donates_to;Ericson Foundation
Ericson Foundation;donates_to;Swedish National Museum
Swedish National Museum;donates_to;Folkens Museum Etnografiska
Karl-Herbert Mayer;works_with;Folkens Museum Etnografiska
Folkens Museum Etnografiska;donates_to;Guatemala
Karl-Herbert Mayer;works_with;Guatemala
Piedras Negras Stela 9;comes_from;Piedras Negras
Millon auction house;has_possession_of;Piedras Negras Stela 9 fragment
Manichak and Jean Aurance;has_possession_of;Piedras Negras Stela 9 fragment
Manichak and Jean Aurance;buys_from;Pierre Langlois
Pierre Langlois;buys_from;Earl Stendahl
Earl Stendahl;has_role;California-based dealer
Piedras Negras Stela 10;comes_from;Piedras Negras
Piedras Negras Stela 11;comes_from;Piedras Negras
Museum of Fine ArtsHouston;has_possession_of;Piedras Negras Stela 11 fragment
Piedras Negras Stela 11 fragment;comes_from;Piedras Negras Stela 11
Piedras Negras Stela 25;comes_from;Piedras Negras
Museo Nacional de Arqueología y Etnología;has_possession_of;Piedras Negras Stela 25 fragment
Linden-Museum in Stuttgart;has_possession_of;Piedras Negras Stela 25 fragment
Guy Loudmer and Hervé Poulin;has_possession_of;Piedras Negras Stela 25 fragment
Hôtel des Ventes;has_possession_of;Piedras Negras Stela 25 fragment
Piedras Negras Stela 26;comes_from;Piedras Negras
French collector;has_possession_of;Piedras Negras Stela 26 fragment
Piedras Negras Stela 29;comes_from;Piedras Negras
Tokyo;has_possession_of;Piedras Negras Stela 29 fragments
Piedras Negras Stela 32;comes_from;Piedras Negras
Parke-Bernet Galleries;has_possession_of;Piedras Negras Stela 32
Piedras Negras Stela 34;comes_from;Piedras Negras
Galerie Jeanne Bucher;has_possession_of;Piedras Negras Stela 34
Piedras Negras Stela 35;comes_from;Piedras Negras
Ludwig Collection;has_possession_of;Piedras Negras Stela 35 fragment
Rautenstrauch-Joest-Museum für V√∂lkerkunde;has_possession_of;Piedras Negras Stela 35 fragment
Ballcourt Marker;comes_from;Cancún
Hieroglyphic Panel;comes_from;Cancún
Guatemalan authorities;works_with;archaeologists
Guatemalan authorities;works_with;nearby communities
archaeologists;works_with;nearby communities
private museum in Guatemala;has_possession_of;Hieroglyphic Panel
Lance Entwistle;buys_from;'Manukonga'
Lance Entwistle;purchases;Five carved wooden panels
Lance Entwistle;sells;Five carved wooden panels
Lance Entwistle;makes_sale_to;George Ortiz
George Ortiz;has_possession_of;Five carved wooden panels
Lance Entwistle;legal_status_change;New Zealand Government
Five carved wooden panels;comes_from;Te Āti Awa iwi
Ngati Rahiri Taonga;has_possession_of;Puke Ariki
Valdivia figurines;comes_from;Valdivia Culture
Valdivia figurines;has_possession_of;international collections
Valdivia figurines;has_possession_of;Museo Banco Central in Quito
Museo Banco Central in Quito;purchases;looted material
Museo Banco Central in Quito;buys_from;dealers
dealers;sells;Valdivia sculptural pieces
looters;has_possession_of;Valdivia cultural sites
looters;sells;Valdivia figurines
locals;sells;faked Valdivia figurines
potter;makes_sale_to;tourists
potter;makes_sale_to;dealers
fakers;sells;Valdivia pieces
fakers;makes_sale_to;tourists
fakers;makes_sale_to;dealers
David Bernstein;has_role;antiquities dealer
David Bernstein;works_with;Metropolitan Museum of Art
David Bernstein;works_with;Art Institute of Chicago
David Bernstein;has_possession_of;66 Peruvian antiquities
David Bernstein;has_possession_of;158 antiquities
David Bernstein;legal_status_change;federal agents
David Bernstein;has_possession_of;160 more antiquities
David Bernstein;legal_status_change;pleaded guilty to filing a false customs declaration
David Bernstein;works_with;federal investigators
David Bernstein;donates_to;Peruvian Embassy
National Geographic Society;has_role;hosted an exhibition
David Bernstein;works_with;Sotheby's auction house
David Bernstein;has_possession_of;ancient Peruvian jewellery
federal agents;has_possession_of;ancient Peruvian jewellery
Looters;has_possession_of;Morgantina Silver
Metropolitan Museum of Art;purchases;Morgantina Silver
Metropolitan Museum of Art;buys_from;Robert Hecht
Robert Hecht;buys_from;Orazio Di Simone
Orazio Di Simone;buys_from;Vincenzo Bossi and Filippo Baviera
Metropolitan Museum of Art;has_possession_of;Morgantina Silver
Malcolm Bell;works_for;University of Virginia
Malcolm Bell;works_for;Morgantina Excavation Team
Giuseppe Mascara;legal_status_change;Italian Government
Metropolitan Museum of Art;legal_status_change;Italian Government
Metropolitan Museum of Art;donates_to;Italian Government
Maurice Tempelsman;has_possession_of;Two Acrolithic Sculptures
Getty Museum;has_possession_of;Getty Aphrodite
Morgantina Silver;comes_from;Morgantina
Euphronios Krater;comes_from;Italy
Laconian Kylix;comes_from;Italy
Three Examples of Red-Figured Pottery;comes_from;Italy
David Swetnam;has_role;smuggler
David Swetnam;legal_status_change;convicted
Benjamin Bishop Johnson;has_role;collector
Benjamin Bishop Johnson;has_role;dealer
Benjamin Bishop Johnson;has_role;authenticator
Benjamin Bishop Johnson;purchases;Sipán material
Benjamin Bishop Johnson;sells;Sipán material
Benjamin Bishop Johnson;makes_sale_to;John Bourne
George Roberts;has_role;physicist
Noel Keyes;has_role;attorney
Meryl Macklin;has_role;attorney
Meryl Macklin;works_for;HellerEhrmanWhite & McAuliffe
Benjamin Bishop Johnson;legal_status_change;defendant
Peru;is_the_owner_of;undocumented Peruvian antiquities
Benjamin Bishop Johnson;has_possession_of;Sipán material
Sotheby New York;sells;Johnson collection
US;legal_status_change;imposed emergency import restrictions
US;works_with;Peru
Italian Carabinieri;has_role;Operation Geryon
castle of Melfi;has_role;Italian state museum
Antonio 'Nino' Savoca;has_possession_of;eight Greek decorated vases
Antonio 'Nino' Savoca;has_possession_of;boxes full of broken artefacts from ItalyGreeceand Bulgaria
Antonio 'Nino' Savoca;has_possession_of;large cleaning facility containing intact pottery
Antonio 'Nino' Savoca;works_with;Luigi Coppola
Luigi Coppola;works_with;Pasquale Camera
Pasquale Camera;has_role;captain in the Guardia di Finanza
Pasquale Camera;works_with;Frieda Tchacos
Danilo Zicchi;has_possession_of;sixty artefacts
Danilo Zicchi;works_with;Giacomo Medici
Danilo Zicchi;works_with;Robert Hecht
Danilo Zicchi;works_with;Gianfranco Becchina
El Zotz;is_the_owner_of;Temple 1
Looters;has_possession_of;carved lintels
Denver Museum of Art;obtains_from;Looters
Denver Museum of Art;donates_to;Guatemala
Mint Museum of Art;has_possession_of;unprovenienced vase
Nasher Museum of Art;has_possession_of;unprovenienced vase
Proyecto Nacional Tikal;works_for;Guatemalan government
Stephen Houston;works_for;Proyecto Nacional Tikal
Marco Antonio Bailey;works_for;Guatemalan government
Ian Graham;works_for;Proyecto Nacional Tikal
George Andrews;works_for;Proyecto Nacional Tikal
Nicholas Hellmuth;has_role;Director of the Foundation for Latin American Anthropological Research
Foundation for Latin American Anthropological Research;is_the_owner_of;Nicholas Hellmuth
Classic Maya hieroglyphic panel;comes_from;Cancún 
Classic Maya hieroglyphic panel;has_possession_of;Museo El Príncipe Maya
Museo El Príncipe Maya;is_the_owner_of;private museum in Cobán 
Cancún Ballcourt Marker;comes_from;Cancún 
Cancún Ballcourt Marker;legal_status_change;recovered in 2003
Cancún;has_role;major Classic Maya site
Cancún;legal_status_change;experienced several looting events from the 1960s into the 2000s
Toledo Museum of Art;purchases;Etruscan black-figured kalpis
Toledo Museum of Art;buys_from;Gianfranco and Ursula Becchina
Gianfranco Becchina;works_with;Giacomo Medici
Giacomo Medici;sells;Etruscan black-figured kalpis
Gianfranco Becchina;has_possession_of;Etruscan black-figured kalpis
Gianfranco Becchina;is_the_owner_of;Antike Kunst Palladion
Antike Kunst Palladion;has_possession_of;Etruscan black-figured kalpis
Toledo Museum of Art;donates_to;Italy
Etruscan black-figured kalpis;comes_from;Italy
Gianfranco Becchina;legal_status_change;Italian investigators
Giacomo Medici;legal_status_change;Italian investigators
Dumbarton Oaks;has_possession_of;Kumluca Silver
George Zacos;has_possession_of;Kumluca Silver
Mrs Robert Woods Bliss;purchases;Kumluca Silver
Mrs Robert Woods Bliss;donates_to;Dumbarton Oaks
Antalya Museum;has_possession_of;Kumluca Silver
Nizeh Firath;works_for;Istanbul Archaeological Museum
Nizeh Firath;has_possession_of;Kumluca Silver
George Zacos;obtains_from;Kumluca
Dumbarton Oaks;legal_status_change;Turkish government
Dumbarton Oaks;legal_status_change;Turkish Minister of Education Orhan Orguz
Dumbarton Oaks;legal_status_change;US museums
Unnamed antiquities collector based in Trujillo;works_with;Walter Alva
Unnamed looter;has_possession_of;Moche material
Unnamed looter;sells;Gold objects from La Mina
Unnamed looter;works_with;Unnamed antiquities collector based in Trujillo
John Bourne;has_possession_of;Moche gold objects
John Bourne;legal_status_change;John Bourne Collection
Raul Apesteguía;purchases;La Mina items
Raul Apesteguía;sells;Sea god headdress
Raul Apesteguía;makes_sale_to;Leonardo Patterson
Leonardo Patterson;has_possession_of;Sea god headdress
Leonardo Patterson;legal_status_change;Leonardo Patterson
Leonardo Patterson;is_the_owner_of;Warehouse in Spain
Leonardo Patterson;works_with;Anton Roeckl
Anton Roeckl;has_possession_of;Ceramic artefacts from La Mina or Dos Cabezas
Anton Roeckl;legal_status_change;Anton Roeckl
ICE;has_possession_of;Ceramic artefacts from La Mina or Dos Cabezas
ICE;donates_to;Peru
Organized crime groups;works_with;Looters
Looters;has_possession_of;Solid gold bracelets
Christie's New York;sells;One gold bracelet
American collector;has_possession_of;Four gold bracelets
French government;donates_to;Romanian government
Romanian Border Police;has_possession_of;One gold bracelet
Swiss collectors;has_possession_of;Three gold bracelets
American collectors;has_possession_of;Three gold bracelets
German antiquities collector;has_possession_of;One gold bracelet
Romanian National History Museum;has_possession_of;Recovered gold bracelets
Romanian General Police Inspectorate;has_role;Heritage crime investigation
Romanian General Police Inspectorate;legal_status_change;Reduction of heritage crime department
Antonine Wall;has_possession_of;heavily-corroded Roman iron axehead
Falkirk Museum;has_possession_of;heavily-corroded Roman iron axehead
Royal Commission on the Ancient and Historic Monuments of Scotland (RCAHMS);has_role;Canmore database
Historic Scotland;works_with;Strathclyde Police
Historic Scotland;works_with;East Dunbartonshire Council
Strathclyde Police;legal_status_change;person caught with a metal detector in Peel Park
Oxford Archaeology;has_role;recording nighthawking instances
Antonine Wall;comes_from;Roman Empire
Antonine Wall;has_role;UNESCO World Heritage Site
Mildred Barns Bliss;purchases;Maya mosaic mask
Mildred Barns Bliss;is_the_owner_of;Dumbarton Oaks Research Library and Collection
Dumbarton Oaks Research Library and Collection;has_possession_of;Maya mosaic mask
